epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.715,1.24455,1.56748,1.05594,0.9499,0.92132,0.95649,0.72111,0.88599,0.61493,0.9332,0.000328431,0.000328431,0.0674853
2,108.719,0.92895,0.54334,0.93353,0.96558,0.94103,0.97857,0.76288,0.80991,0.49492,0.90481,0.000648662,0.000648662,0.0344722
3,158.742,0.88531,0.51001,0.92205,0.96924,0.95334,0.97959,0.76194,0.79766,0.49674,0.91267,0.000955692,0.000955692,0.00144589
4,203.3,0.86651,0.48755,0.91554,0.97228,0.94998,0.97774,0.77519,0.78535,0.4395,0.90101,0.0009406,0.0009406,0.0009406
5,249.881,0.86545,0.48344,0.91479,0.96614,0.95707,0.98503,0.78477,0.77045,0.41609,0.89489,0.0009208,0.0009208,0.0009208
6,298.363,0.82986,0.45591,0.90462,0.97695,0.95665,0.98742,0.766,0.81606,0.4362,0.92408,0.000901,0.000901,0.000901
7,349.341,0.81783,0.44643,0.90399,0.96968,0.95395,0.98247,0.78951,0.74602,0.48961,0.89224,0.0008812,0.0008812,0.0008812
8,395.527,0.81473,0.43954,0.89587,0.97444,0.96737,0.98825,0.79499,0.74419,0.40744,0.88941,0.0008614,0.0008614,0.0008614
9,445.618,0.79272,0.42337,0.8902,0.98113,0.96744,0.9858,0.79793,0.73161,0.36416,0.88411,0.0008416,0.0008416,0.0008416
10,492.57,0.77612,0.41961,0.88929,0.98011,0.97225,0.99008,0.80487,0.72796,0.35972,0.88332,0.0008218,0.0008218,0.0008218
11,544.539,0.78076,0.41903,0.89039,0.97709,0.96263,0.98676,0.80472,0.72485,0.39438,0.88659,0.000802,0.000802,0.000802
12,591.519,0.76795,0.41073,0.88594,0.97959,0.97286,0.99004,0.8092,0.71372,0.36701,0.88259,0.0007822,0.0007822,0.0007822
13,643.816,0.76199,0.403,0.88313,0.9794,0.97157,0.98988,0.81058,0.70017,0.35196,0.87922,0.0007624,0.0007624,0.0007624
